country,continent,population,day,time,Cases,Recovered,Deaths,Tests,Z-population,Z-Cases,Z-Recovered,Z-Deaths,Z-Tests,Mortality Rate
Saint-Helena,Africa,6115.0,2024-06-30,2024-06-30T16:15:16+00:00,2166,2.0,2164.0,32988287.854460094,-0.163,-0.173,-0.174,-0.17,-0.0,99.90766389658357
Falkland-Islands,South-America,3539.0,2024-06-30,2024-06-30T16:15:16+00:00,1930,1930.0,0.0,8632.0,-0.163,-0.173,-0.174,-0.174,-0.29,0.0
Montserrat,North-America,4965.0,2024-06-30,2024-06-30T16:15:16+00:00,1403,1376.0,8.0,17762.0,-0.163,-0.173,-0.174,-0.174,-0.29,0.5702066999287242
Vatican-City,Europe,799.0,2024-06-30,2024-06-30T16:15:16+00:00,29,29.0,0.0,32988287.854460094,-0.163,-0.173,-0.174,-0.174,-0.0,0.0
Western-Sahara,Africa,626161.0,2024-06-30,2024-06-30T16:15:16+00:00,10,9.0,1.0,32988287.854460094,-0.162,-0.173,-0.174,-0.174,-0.0,10.0
China,Asia,1448471400.0,2024-06-30,2024-06-30T16:15:16+00:00,503302,379053.0,5272.0,160000000.0,2.16,-0.163,-0.166,-0.164,1.116,1.0474824260583109
Saint-Pierre-Miquelon,North-America,5759.0,2024-06-30,2024-06-30T16:15:16+00:00,3452,2449.0,2.0,25400.0,-0.163,-0.172,-0.174,-0.174,-0.29,0.057937427578215524
Tuvalu,Oceania,12066.0,2024-06-30,2024-06-30T16:15:16+00:00,2943,2942.0,1.0,32988287.854460094,-0.163,-0.172,-0.174,-0.174,-0.0,0.03397893306150187
Niue,Oceania,1622.0,2024-06-30,2024-06-30T16:15:16+00:00,1059,1056.0,3.0,32988287.854460094,-0.163,-0.173,-0.174,-0.174,-0.0,0.28328611898017
Nicaragua,North-America,6779100.0,2024-06-30,2024-06-30T16:15:15+00:00,18491,4225.0,225.0,32988287.854460094,-0.152,-0.172,-0.174,-0.174,-0.0,1.2168081769509491
Tajikistan,Asia,9957464.0,2024-06-30,2024-06-30T16:15:15+00:00,17786,17264.0,125.0,32988287.854460094,-0.147,-0.172,-0.173,-0.174,-0.0,0.7027999550208028
Djibouti,Africa,1016097.0,2024-06-30,2024-06-30T16:15:15+00:00,15690,15427.0,189.0,305941.0,-0.161,-0.172,-0.173,-0.174,-0.287,1.2045889101338432
Greenland,North-America,56973.0,2024-06-30,2024-06-30T16:15:15+00:00,11971,2761.0,21.0,164926.0,-0.163,-0.172,-0.174,-0.174,-0.288,0.1754239411912121
Eritrea,Africa,3662244.0,2024-06-30,2024-06-30T16:15:15+00:00,10189,10086.0,103.0,23693.0,-0.157,-0.172,-0.174,-0.174,-0.29,1.0108941014819903
Niger,Africa,26083660.0,2024-06-30,2024-06-30T16:15:15+00:00,9931,8890.0,312.0,254538.0,-0.121,-0.172,-0.174,-0.174,-0.287,3.141677575269359
Equatorial-Guinea,Africa,1496662.0,2024-06-30,2024-06-30T16:15:15+00:00,17229,16907.0,183.0,365697.0,-0.16,-0.172,-0.173,-0.174,-0.287,1.062162632770329
Liberia,Africa,5305117.0,2024-06-30,2024-06-30T16:15:15+00:00,8090,7783.0,295.0,139824.0,-0.154,-0.172,-0.174,-0.174,-0.288,3.646477132262052
Nauru,Oceania,10903.0,2024-06-30,2024-06-30T16:15:15+00:00,5393,5347.0,1.0,20509.0,-0.163,-0.172,-0.174,-0.174,-0.29,0.018542555164101613
Caribbean-Netherlands,North-America,26647.0,2024-06-30,2024-06-30T16:15:15+00:00,11682,10476.0,38.0,30126.0,-0.163,-0.172,-0.174,-0.174,-0.289,0.32528676596473205
