country,continent,population,day,time,Cases,Recovered,Deaths,Tests,recovery_rate,Z-population,Z-Cases,Z-Recovered,Z-Deaths,Z-Tests,cases_per_population,tests_per_population,Mortality Rate
Saint-Helena,Africa,6115.0,2024-06-30,2024-06-30T16:15:16+00:00,2166,2.0,2164.0,32988287.854460094,0.0009233610341643582,-0.163,-0.173,-0.174,-0.17,-0.0,0.35421095666394115,5394.650507679492,0.9990766389658357
Falkland-Islands,South-America,3539.0,2024-06-30,2024-06-30T16:15:16+00:00,1930,1930.0,0.0,8632.0,1.0,-0.163,-0.173,-0.174,-0.174,-0.29,0.545351794292173,2.4391070923989826,0.0
Montserrat,North-America,4965.0,2024-06-30,2024-06-30T16:15:16+00:00,1403,1376.0,8.0,17762.0,0.9807555238774056,-0.163,-0.173,-0.174,-0.174,-0.29,0.2825780463242699,3.5774420946626386,0.005702066999287242
Vatican-City,Europe,799.0,2024-06-30,2024-06-30T16:15:16+00:00,29,29.0,0.0,32988287.854460094,1.0,-0.163,-0.173,-0.174,-0.174,-0.0,0.03629536921151439,41286.96852873604,0.0
Western-Sahara,Africa,626161.0,2024-06-30,2024-06-30T16:15:16+00:00,10,9.0,1.0,32988287.854460094,0.9,-0.162,-0.173,-0.174,-0.174,-0.0,1.5970333508474656e-05,52.68339589092916,0.1
China,Asia,1448471400.0,2024-06-30,2024-06-30T16:15:16+00:00,503302,379053.0,5272.0,160000000.0,0.7531323141970427,2.16,-0.163,-0.166,-0.164,1.116,0.00034747113405207724,0.11046127662582775,0.01047482426058311
Saint-Pierre-Miquelon,North-America,5759.0,2024-06-30,2024-06-30T16:15:16+00:00,3452,2449.0,2.0,25400.0,0.7094438006952491,-0.163,-0.172,-0.174,-0.174,-0.29,0.5994096197256468,4.410487931932627,0.0005793742757821553
Tuvalu,Oceania,12066.0,2024-06-30,2024-06-30T16:15:16+00:00,2943,2942.0,1.0,32988287.854460094,0.9996602106693849,-0.163,-0.172,-0.174,-0.174,-0.0,0.24390850323222277,2733.9870590469163,0.0003397893306150187
Niue,Oceania,1622.0,2024-06-30,2024-06-30T16:15:16+00:00,1059,1056.0,3.0,32988287.854460094,0.9971671388101983,-0.163,-0.173,-0.174,-0.174,-0.0,0.6528976572133169,20338.03196945752,0.0028328611898017
Nicaragua,North-America,6779100.0,2024-06-30,2024-06-30T16:15:15+00:00,18491,4225.0,225.0,32988287.854460094,0.22848953544967823,-0.152,-0.172,-0.174,-0.174,-0.0,0.0027276482128896166,4.866175134525246,0.012168081769509492
Tajikistan,Asia,9957464.0,2024-06-30,2024-06-30T16:15:15+00:00,17786,17264.0,125.0,32988287.854460094,0.9706510738783313,-0.147,-0.172,-0.173,-0.174,-0.0,0.0017861977708380366,3.312920624614871,0.0070279995502080285
Djibouti,Africa,1016097.0,2024-06-30,2024-06-30T16:15:15+00:00,15690,15427.0,189.0,305941.0,0.9832377310388782,-0.161,-0.172,-0.173,-0.174,-0.287,0.015441439153939043,0.30109428528969184,0.012045889101338431
Greenland,North-America,56973.0,2024-06-30,2024-06-30T16:15:15+00:00,11971,2761.0,21.0,164926.0,0.23064071506139838,-0.163,-0.172,-0.174,-0.174,-0.288,0.21011707299949098,2.894809822196479,0.001754239411912121
Eritrea,Africa,3662244.0,2024-06-30,2024-06-30T16:15:15+00:00,10189,10086.0,103.0,23693.0,0.9898910589851802,-0.157,-0.172,-0.174,-0.174,-0.29,0.0027821739894993342,0.006469530703033441,0.010108941014819904
Niger,Africa,26083660.0,2024-06-30,2024-06-30T16:15:15+00:00,9931,8890.0,312.0,254538.0,0.8951767193636089,-0.121,-0.172,-0.174,-0.174,-0.287,0.0003807364457288586,0.009758523152042313,0.03141677575269359
Equatorial-Guinea,Africa,1496662.0,2024-06-30,2024-06-30T16:15:15+00:00,17229,16907.0,183.0,365697.0,0.981310580997156,-0.16,-0.172,-0.173,-0.174,-0.287,0.01151161718544334,0.24434174182280302,0.01062162632770329
Liberia,Africa,5305117.0,2024-06-30,2024-06-30T16:15:15+00:00,8090,7783.0,295.0,139824.0,0.9620519159456119,-0.154,-0.172,-0.174,-0.174,-0.288,0.0015249428052199413,0.02635644039518827,0.03646477132262052
Nauru,Oceania,10903.0,2024-06-30,2024-06-30T16:15:15+00:00,5393,5347.0,1.0,20509.0,0.9914704246245133,-0.163,-0.172,-0.174,-0.174,-0.29,0.4946345042648812,1.881041915069247,0.00018542555164101615
Caribbean-Netherlands,North-America,26647.0,2024-06-30,2024-06-30T16:15:15+00:00,11682,10476.0,38.0,30126.0,0.8967642526964561,-0.163,-0.172,-0.174,-0.174,-0.289,0.43839831876008556,1.1305587871054903,0.0032528676596473207
Bermuda,North-America,61939.0,2024-06-30,2024-06-30T16:15:15+00:00,18860,18685.0,165.0,1029558.0,0.9907211028632026,-0.163,-0.172,-0.173,-0.174,-0.281,0.3044931303379131,16.62212822292901,0.008748674443266172
Gambia,Africa,2558482.0,2024-06-30,2024-06-30T16:15:15+00:00,12626,12189.0,372.0,155686.0,0.9653888800887058,-0.159,-0.172,-0.173,-0.174,-0.288,0.004934957525595255,0.06085092644779209,0.02946301283066688
Grenada,North-America,113475.0,2024-06-30,2024-06-30T16:15:15+00:00,19693,19358.0,238.0,182981.0,0.9829888792972122,-0.163,-0.172,-0.173,-0.174,-0.288,0.1735448336638026,1.6125225820665345,0.012085512618697
Comoros,Africa,907419.0,2024-06-30,2024-06-30T16:15:15+00:00,9109,8939.0,161.0,32988287.854460094,0.9813371390932045,-0.161,-0.172,-0.174,-0.174,-0.0,0.010038361550727943,36.35397523576219,0.017674827094082777
Guinea-Bissau,Africa,2063367.0,2024-06-30,2024-06-30T16:15:15+00:00,9614,8929.0,177.0,145231.0,0.9287497399625546,-0.16,-0.172,-0.174,-0.174,-0.288,0.004659374701640571,0.07038544282233844,0.01841065113376326
Chad,Africa,17413580.0,2024-06-30,2024-06-30T16:15:15+00:00,7701,4874.0,194.0,191341.0,0.6329048175561616,-0.135,-0.172,-0.174,-0.174,-0.288,0.00044224105554400647,0.010988033477320573,0.025191533567069213
